02778905000112	ASSOCIACAO CULTURAL E COMUNITARIA DE SANTO INACIO
02779523000103	POLIDORIO COMERCIO DE GAS LTDA
02786203000180	CONDOMINIO EDIFICIO SAO CARLOS
02808008000104	M.G. CAMPINAS TELECOMUNICACOES LTDA
02817606000140	MARCELO DOS SANTOS GRAFICA
02840385000120	MOVIMENTO ECLESIAL DA RENOVACAO CARISMATICA CATOLICA DA ARQUIDIOCESE DE CASCAVEL
02858081000190	MENGUE TRANSPORTES LTDA
02884089000121	GIGA BYTE TELECOMUNICACOES LTDA.
02889074000156	CONDOMINIO DO EDIFICIO MARACANA
02922128000138	MUNICIPIO DE JUSSARA
02924889000129	BARRA DO IVAI CONDOMINIUM DE PESCA E LAZER
02931787000130	JUARES ANTUNES MACIEL
02938713000126	ALCIDES PEREIRA BORGES LIMITADA
02948795000190	ACT INTERNET LTDA
02950663000100	HOSPITAL OFTALMOLOGICO ESPECIALIZADO LTDA
02952749000164	NETSPEED LTDA
02954387000140	ALIANO E LIMA LTDA
02960203000155	CONDOMINIO EDIFICIO FLORENCA
02995233000105	TELECOMUNICACOES NORDESTE LTDA
03019947000132	PEREZ
03051152000101	R. ZASSO & CIA LTDA.
03052948000189	B & W DROGARIA LTDA
03061336000152	ASSOCIACAO DE AMIGOS DO GUARANY - SAG
03068430000133	ORBITAL SISTEMAS LTDA
03088662000153	MOVEIS ALTO DA SERRA LTDA
03123534000101	MANES CONTABILIDADE LTDA
03125043000191	NET ONDA SERVICOS DE INTERNET LTDA
03132381000150	LOTEADORA NORTESUL LTDA
03135751000103	JMF - BIONDO LTDA
03148623000102	BRUCE PRESTADORA DE SERVICOS LTDA
03166877000145	DATECH COMERCIO E SERVICOS LTDA
03178524000165	EUROSUL FORNECEDORA DE NAVIOS LTDA
03181295000138	EXTREMA COMERCIO E MANUTENCAO DE EQUIPAMENTOS ELETRONICOS LTDA.
03198734000115	PALMAS - EMPREENDIMENTOS E ADMINISTRACAO LTDA
03203091000150	CETUS ONCOLOGIA S.A.
03203747000135	ODIMAR MALAGUTTI & CIA LTDA
03222379000172	HANNA TRANSPORTE E COMERCIO ATACADISTA DE CEREAIS LTDA
03233805000173	MOCA COMERCIO DE MEDICAMENTOS LTDA
03233826000199	INSTITUTO CONECTA BRASIL
03241391000124	PAULO ANTONIO LOEF LTDA
03251347000286	A.M. SUPERMERCADOS LTDA
03280671000303	V2 TECNOLOGIA LTDA.
03287956000104	SAN LOREN COLLECTION CONFECCOES LTDA
